Basic Info,Priority,,,,,,,,,
RedHat,P1,,,,,,,,,
Ubuntu,P1,,,,,,,,,
SUSE,P1,,,,,,,,,
GCC,P1,,,,,,,,,
Clang/LLVM,P1,,,,,,,,,
glibc,P1,,,,,,,,,
perf,P1,,,,,,,,,
Java/OpenJDK,P1,,,,,,,,,
Golang,P1,,,,,,,,,
Python,P1,,,,,,,,,
.Net,P1,,,,,,,,,
MongoDB,P1,,,,,,,,,
Cassandra,P1,,,,,,,,,
Memcached,P1,,,,,,,,,
Redis,P1,,,,,,,,,
ElasticSearch,P1,,,,,,,,,
mySQL,P1,,,,,,,,,
PostgreSQL,P1,,,,,,,,,
Spark,P1,,,,,,,,,
Hadoop,P1,,,,,,,,,
XGBoost,P1,,,,,,,,,
Apache Arrow,P1,,,,,,,,,
Protobuf,P1,,,,,,,,,
nginx,P1,,,,,,,,,
Apache httpd,P1,,,,,,,,,
PHP,P1,,,,,,,,,
Kubernetes,P1,,,,,,,,,
Docker,P1,,,,,,,,,
Istio,P1,,,,,,,,,
Envoy,P1,,,,,,,,,
Gitlab,P1,,,,,,,,,
Jenkins,P1,,,,,,,,,
Ansible,P1,,,,,,,,,
Terraform,P1,,,,,,,,,
Wordpress,P1,,,,,,,,,
Magento,P1,,,,,,,,,
gRPC,P1,,,,,,,,,
RabbitMQ,P1,,,,,,,,,
Prometheus,P1,,,,,,,,,
Grafana,P1,,,,,,,,,
SPDK,P1,,,,,,,,,
Ceph,P1,,,,,,,,,
DPDK,P1,,,,,,,,,
VPP,P1,,,,,,,,,
Snort,P1,,,,,,,,,
Vectorscan,P1,,,,,,,,,
libx264,P1,,,,,,,,,
libx265,P1,,,,,,,,,
PyTorch,P1,,,,,,,,,
Tensorflow,P1,,,,,,,,,
OpenSSL,P1,,,,,,,,,
Zstandard,P1,,,,,,,,,
Snappy,P1,,,,,,,,,
Debian,P2,,,,,,,,,
OpenEuler,P2,,,,,,,,,
OpenAnolis,P2,,,,,,,,,
Fedora,P2,,,,,,,,,
Rust,P2,,,,,,,,,
node.js,P2,,,,,,,,,
Springboot,P2,,,,,,,,,
Kafka,P2,,,,,,,,,
Clickhouse,P2,,,,,,,,,
Etcd,P2,,,,,,,,,
MariaDB,P2,,,,,,,,,
CockroachDB,P2,,,,,,,,,
Hive,P2,,,,,,,,,
Flink,P2,,,,,,,,,
LightGBM,P2,,,,,,,,,
Parquet,P2,,,,,,,,,
Json,P2,,,,,,,,,
haproxy,P2,,,,,,,,,
Squid,P2,,,,,,,,,
Django,P2,,,,,,,,,
Apache Tomcat,P2,,,,,,,,,
Rancher,P2,,,,,,,,,
Kata,P2,,,,,,,,,
OpenShift,P2,,,,,,,,,
AWS EKS,P2,,,,,,,,,
GCP GKE,P2,,,,,,,,,
Azure AKS,P2,,,,,,,,,
linkerd,P2,,,,,,,,,
Calico,P2,,,,,,,,,
Github,P2,,,,,,,,,
CircleCI,P2,,,,,,,,,
Drupal,P2,,,,,,,,,
Joomla,P2,,,,,,,,,
Shopify,P2,,,,,,,,,
Mosquitto,P2,,,,,,,,,
Celery,P2,,,,,,,,,
Quartz,P2,,,,,,,,,
ISA-L,P2,,,,,,,,,
Rook,P2,,,,,,,,,
OpenEBS,P2,,,,,,,,,
Linbit,P2,,,,,,,,,
OVS,P2,,,,,,,,,
Strongswan,P2,,,,,,,,,
ffmpeg,P2,,,,,,,,,
libvpx,P2,,,,,,,,,
libaom,P2,,,,,,,,,
OpenBLAS,P2,,,,,,,,,
Anaconda,P2,,,,,,,,,
OneDNN,P2,,,,,,,,,
OpenXLA,P2,,,,,,,,,
zlib,P2,,,,,,,,,
lz4,P2,,,,,,,,,
Groovy/Grails,P3,,,,,,,,,
Ruby/Rails,P3,,,,,,,,,
TimescaleDB,P3,,,,,,,,,
SSDB,P3,,,,,,,,,
TiKV,P3,,,,,,,,,
Couchbase,P3,,,,,,,,,
SQLite,P3,,,,,,,,,
Vitess,P3,,,,,,,,,
Oracle SQL,P3,,,,,,,,,
Azure SQL,P3,,,,,,,,,
Oceanbase,P3,,,,,,,,,
Flume,P3,,,,,,,,,
Hbase,P3,,,,,,,,,
Storm,P3,,,,,,,,,
Presto,P3,,,,,,,,,
Druid,P3,,,,,,,,,
Pinot,P3,,,,,,,,,
HDFS,P3,,,,,,,,,
Yarn,P3,,,,,,,,,
Zookeeper,P3,,,,,,,,,
Velox,P3,,,,,,,,,
Varnish,P3,,,,,,,,,
tengine,P3,,,,,,,,,
Tinyproxy,P3,,,,,,,,,
Gunicorn,P3,,,,,,,,,
uWSGI,P3,,,,,,,,,
RedHat Jboss,P3,,,,,,,,,
Wildfly,P3,,,,,,,,,
MS IIS,P3,,,,,,,,,
ASP.NET,P3,,,,,,,,,
OpenResty,P3,,,,,,,,,
gVisor,P3,,,,,,,,,
Containerd,P3,,,,,,,,,
KubEdge,P3,,,,,,,,,
Crio,P3,,,,,,,,,
Harbor,P3,,,,,,,,,
Keda,P3,,,,,,,,,
Crossplane,P3,,,,,,,,,
Dragonfly,P3,,,,,,,,,
Chaos-mesh,P3,,,,,,,,,
Cilium,P3,,,,,,,,,
CNI,P3,,,,,,,,,
Contour,P3,,,,,,,,,
Avahi,P3,,,,,,,,,
Bonjour,P3,,,,,,,,,
CoreDNS,P3,,,,,,,,,
TeamCity,P3,,,,,,,,,
Spinnaker,P3,,,,,,,,,
Argo,P3,,,,,,,,,
Drone,P3,,,,,,,,,
Flux,P3,,,,,,,,,
Helm,P3,,,,,,,,,
Backstage,P3,,,,,,,,,
Buildpacks.io,P3,,,,,,,,,
Keptn,P3,,,,,,,,,
Confluence,P3,,,,,,,,,
Mediawiki,P3,,,,,,,,,
LifeRay,P3,,,,,,,,,
WooCommerce,P3,,,,,,,,,
BigCommerce,P3,,,,,,,,,
OpenCart,P3,,,,,,,,,
Mattermost,P3,,,,,,,,,
Rocket.Chat,P3,,,,,,,,,
Apache Pulsar,P3,,,,,,,,,
Jitsi,P3,,,,,,,,,
Zulip,P3,,,,,,,,,
SendBird,P3,,,,,,,,,
IBM MQ Service,P3,,,,,,,,,
NSQ,P3,,,,,,,,,
beanstalkd,P3,,,,,,,,,
Kibana,P3,,,,,,,,,
InfluxDB,P3,,,,,,,,,
Datadog,P3,,,,,,,,,
New Relic,P3,,,,,,,,,
Dynatrace,P3,,,,,,,,,
AppDynamics,P3,,,,,,,,,
Fluentd,P3,,,,,,,,,
Jaeger,P3,,,,,,,,,
Cloudevents,P3,,,,,,,,,
Cortex,P3,,,,,,,,,
Open Policy Agent,P3,,,,,,,,,
spiffe,P3,,,,,,,,,
Spire,P3,,,,,,,,,
TUF,P3,,,,,,,,,
Cert-Manager,P3,,,,,,,,,
Cloud custodian,P3,,,,,,,,,
Falco,P3,,,,,,,,,
In-toto,P3,,,,,,,,,
Keycloak,P3,,,,,,,,,
CubeFS,P3,,,,,,,,,
MinIO,P3,,,,,,,,,
Longhorn,P3,,,,,,,,,
Highwayhash,P3,,,,,,,,,
xxHash,P3,,,,,,,,,
murmurHash,P3,,,,,,,,,
ODP,P3,,,,,,,,,
SONIC,P3,,,,,,,,,
DentOS,P3,,,,,,,,,
libgav1,P3,,,,,,,,,
dav1d,P3,,,,,,,,,
OpenVVC,P3,,,,,,,,,
VVenC,P3,,,,,,,,,
VVdeC,P3,,,,,,,,,
Numpy,P3,,,,,,,,,
BoringSSL,P3,,,,,,,,,
libOQS,P3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
